feature,auroc_mean_raw,auroc_std_raw,auprc_mean_raw,auprc_std_raw
dnase_frac_5bp,0.7356753812636165,0.07115458070000108,0.694472060380142,0.08257638482799068
dnase_concentration_5bp,0.7356753812636165,0.07115458070000108,0.694472060380142,0.08257638482799068
dnase_frac_15bp,0.6636710239651415,0.07056309902380996,0.6196087533481733,0.056187882321392844
dnase_magnitude,0.6893790849673203,0.06739557307818499,0.5772212177370846,0.07548724269339104
dnase_max_value,0.6798474945533769,0.0414750960831135,0.5447138725997085,0.05579044532626874
splice_magnitude,0.6111928104575164,0.02510763280016773,0.505658709106985,0.03503016257104115
splice_max_value,0.5896241830065361,0.04473634201035188,0.4998154463671705,0.037864864833858584
atac_max_value,0.5633714596949891,0.04501985713668447,0.47880257673361115,0.03071711009796763
splice_frac_15bp,0.5479575163398692,0.05045792906804007,0.4707615351868225,0.04232851594400492
atac_magnitude,0.5458333333333334,0.04918843476439679,0.4698116687484504,0.042947407369828425
splice_frac_5bp,0.510375816993464,0.050994792251485656,0.4516508544669463,0.027145494002941067
splice_concentration_5bp,0.510375816993464,0.050994792251485656,0.4516508544669463,0.027145494002941067
atac_frac_15bp,0.5198529411764706,0.06336815348277865,0.448554142749545,0.03920128516735786
atac_frac_5bp,0.5091230936819172,0.07386261548297957,0.44310881647088546,0.05649724898416734
atac_concentration_5bp,0.5091230936819172,0.07386261548297957,0.44310881647088546,0.05649724898416734
