gene,n_pathogenic,n_benign,path_5bp_mean,ben_5bp_mean,path_total_mean,ben_total_mean,u_5bp,p_5bp,r_5bp,p_15bp,r_15bp,u_total,p_total,r_total
dmd,24,29,0.1919116768287751,0.07042700188302191,4018.090850830078,3499.2498063712283,590.0,7.97101246693649e-06,0.6954022988505748,0.0001290343430283184,0.5890804597701149,486.0,0.007006605536397529,0.39655172413793105
cftr,16,30,0.0851389108936971,0.08974644874107415,4008.0390548706055,2642.336741129557,261.0,0.31817892021498495,0.08749999999999991,0.35177077498493803,0.0708333333333333,321.0,0.03168446511151178,0.3374999999999999
scn1a,20,28,0.10728015374321842,0.0882137518621291,3017.4914733886717,2144.6321411132812,398.0,0.007001684257053175,0.4214285714285715,0.20439362082175172,0.1428571428571428,414.0,0.0026210197702159566,0.47857142857142865
